1	CSE 1201	Structured Programming	3.00	,
2	CSE 1202	Structured Programming Laboratory	1.50,
3	CSE 1203	Digital Logic Design	3.00	,
4	CHEM 1207	Chemistry	3.00	,
5	CSE 1204	Digital Logic Design Laboratory	1.50	,
6	CHEM 1208	Chemistry Laboratory	0.75	,
7	EEE 1217	Analog Electronics	3.00	,
8	EEE 1218	Analog Electronics Laboratory	0.75,
9	MATH 1207	Coordinate Geometry and Differential Equations	3.00,
10	ME 1270	Computer Aided Design Laboratory	0.75	,

                Theory : 15 Sessional : 5.25 Thesis/Project : 0	20.25,
